"language,type"
"abap,Abap"
"abc,Abc"
"actionscript,Actionscript"
"ada,Ada"
"apache_conf,Apache_conf"
"applescript,Applescript"
"asciidoc,Asciidoc"
"assembly_86,Assembly_86"
"autohotkey,Autohotkey"
"batchfile,Batchfile"
"bro,Bro"
"c & c++,C & c++"
"c9search,C9search"
"cirru,Cirru"
"clojure,Clojure"
"cobol,Cobol"
"coffee,Coffee"
"coldfusion,Coldfusion"
"c#,C#"
"css,Css"
"curly,Curly"
"d,D"
"dart,Dart"
"diff,Diff"
"django,Django"
"dockerfile,Dockerfile"
"dot,Dot"
"drools,Drools"
"eiffel,Eiffel"
"ejs,Ejs"
"elixir,Elixir"
"elm,Elm"
"erlang,Erlang"
"forth,Forth"
"fortran,Fortran"
"ftl,Ftl"
"gcode,Gcode"
"gherkin,Gherkin"
"gitignore,Gitignore"
"glsl,Glsl"
"gobstones,Gobstones"
"golang,Golang"
"graphqlschema,Graphqlschema"
"groovy,Groovy"
"haml,Haml"
"handlebars,Handlebars"
"haskell,Haskell"
"haskell_cabal,Haskell_cabal"
"haxe,Haxe"
"hjson,Hjson"
"html,Html"
"html_elixir,Html_elixir"
"html_ruby,Html_ruby"
"ini,Ini"
"io,Io"
"jack,Jack"
"jade,Jade"
"java,Java"
"javascript,Javascript"
"json,Json"
"jsoniq,Jsoniq"
"jsp,Jsp"
"jsx,Jsx"
"julia,Julia"
"kotlin,Kotlin"
"latex,Latex"
"lean,Lean"
"less,Less"
"liquid,Liquid"
"lisp,Lisp"
"live_script,Live_script"
"livescript,Livescript"
"logiql,Logiql"
"lsl,Lsl"
"lua,Lua"
"luapage,Luapage"
"lucene,Lucene"
"makefile,Makefile"
"markdown,Markdown"
"mask,Mask"
"matlab,Matlab"
"maze,Maze"
"mel,Mel"
"mips_assembler,Mips_assembler"
"mipsassembler,Mipsassembler"
"mushcode,Mushcode"
"mysql,Mysql"
"nix,Nix"
"nsis,Nsis"
"objective c,Objective c"
"ocaml,Ocaml"
"pascal,Pascal"
"perl,Perl"
"pgsql,Pgsql"
"php,Php"
"pig,Pig"
"plain_text,Plain_text"
"powershell,Powershell"
"praat,Praat"
"prolog,Prolog"
"properties,Properties"
"protobuf,Protobuf"
"python,Python"
"r,R"
"razor,Razor"
"rdoc,Rdoc"
"rhtml,Rhtml"
"rst,Rst"
"ruby,Ruby"
"rust,Rust"
"sass,Sass"
"scad,Scad"
"scala,Scala"
"scheme,Scheme"
"scss,Scss"
"sh,Sh"
"sjs,Sjs"
"smarty,Smarty"
"snippets,Snippets"
"soy_template,Soy_template"
"space,Space"
"sparql,Sparql"
"sql,Sql"
"sqlserver,Sqlserver"
"stylus,Stylus"
"svgswift,Svgswift"
"swig,Swig"
"tcl,Tcl"
"tex,Tex"
"text,Text"
"textile,Textile"
"tsx,Tsx"
"turtle,Turtle"
"twig,Twig"
"typescript,Typescript"
"vala,Vala"
"vbscript,Vbscript"
"velocity,Velocity"
"verilog,Verilog"
"vhdl,Vhdl"
"wollok,Wollok"
"xml,Xml"
"xquery,Xquery"
"yaml,Yaml"
